x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,753.61204013378,753.61204013378,50211760432.194,959347170800.75,10900146864441,12095923413451,10270311365673,9864227421683.5,4153230618924,4105416314886.7,5360713807424.5,3894463911963.8,3733993917490.2,3510394984032.4,3191881557615.4,2008854963036.6,1800400643096,2650764423729.4,2221567753348.3,2621504301503.1,2793642313795.5,3474403437896.2,3841440709166.1,2565527605112.8,1894630995778.4,1369262122803.3,217437198604.88,62789405985.079
1,3,757.20066889632,757.20066889632,50042252207.184,956108527922.34,10863348947670,12055088161833,10235638847753,9830925424116.8,4139209084136.8,4091556130785.6,5342615521787.8,3881315759640.3,3721387466793.1,3498543373787.9,3181105243214.7,2002072716904.2,1794322156505.2,2641814902232.7,2214067251278.5,2612653469452,2784210211601.4,3462672751001.7,3828470671220.4,2556865451356.6,1888234015656.2,1364638976072.8,216703047795.67,62577405202.32
1,3,760.78929765886,760.78929765886,49870926573.263,952835161729.19,10826156506175,12013815110063,10200594610464,9797266409234.1,4125037231714.9,4077547360398.1,5324323218643.8,3868026657816.5,3708645875133.2,3486564715814.8,3170213409341.5,1995217767284.3,1788178510945.6,2632769446578.7,2206486348643,2603707763504.8,2774677006837.4,3450816326327.2,3815361613789.6,2548110453104,1881768470454.8,1359966276992.3,215961028138.23,62363132128.152
1,3,764.3779264214,764.3779264214,49696907800.271,949510340581.48,10788379436186,11971893302173,10164999539668,9763078348043.4,4110642631220.7,4063318407765,5305743411569.6,3854528690911.6,3695704026006.5,3474397793524.7,3159150394407.6,1988255083027.6,1781938310567.5,2623581832551.8,2198786305935.9,2594621470560.7,2764993985169.1,3438773579127.5,3802046552122.8,2539217874255.2,1875201322768.2,1355220149215.5,215207348097.29,62145491879.757
1,3,767.96655518395,767.96655518395,49519890119.738,946128222485.1,10749951361271,11929249080934,10128791095884,9728301174697.8,4095999992710,4048844274256,5286843458494.4,3840798145201.8,3682539182964.3,3462021232124,3147896763185.2,1981172432365.1,1775590592914.6,2614235920046.7,2190953596460.1,2585378628922.3,2755144136971.7,3426523355072.3,3788502097305.5,2530172094447.9,1868521037048,1350392255935.7,214440683798.55,61924102161.355
1,3,771.55518394649,771.55518394649,49341383999.68,942717666380.23,10711200175809,11886246308107,10092278220912,9693231612698.1,4081234248020.5,4034248452906.2,5267784611500.9,3826952166940.8,3669263664753.1,3449540623955.3,3136548526650.3,1974030240899.2,1769189513160.1,2604811442192.8,2183055042955.2,2576058090297.4,2745211490421.1,3414170156522.3,3774843789823.2,2521050277503,1861784598224.7,1345523780439,213667575091.67,61700851489.37
1,3,775.14381270903,775.14381270903,49158715083.844,939227576226.58,10671545330375,11842240755514,10054913927499,9657344312231.1,4066124205915.1,4019312300879.7,5248281377670.1,3812783352495.5,3655678615574,3436769022810.7,3124935702546.2,1966721528589.9,1762639192856.8,2595167236566,2174972340049.7,2566520252492.9,2735047277434.7,3401528963877.8,3760867064706,2511715803563.4,1854891113114.7,1340541806558,212876442975.3,61472396192.272
1,3,778.73244147157,778.73244147157,48975745388.119,935731739413.98,10631825192162,11798162748927,10017488116984,9621397928714.3,4050989287820.2,4004351559570.4,5228746036540.2,3798591212956.1,3642071202664.9,3423976397346,3113303761930.7,1959400785110.7,1756078089882.5,2585507155503.8,2166876332211.1,2556966714542.4,2724866333256,3388866962659.8,3746867332538.7,2502365964146.4,1847986280629.9,1335551631840.4,212084008574.66,61243564834.481
1,3,782.32107023411,782.32107023411,48787467559.86,932134486155.63,10590952773686,11752806081711,9978976658985.3,9584408853615.9,4035415360820.4,3988956869126.2,5208644069100.8,3783987434556.6,3628069116949.7,3410812736844.4,3101334455087.1,1951867716781.7,1749326695442.1,2575566906391.6,2158545520282.7,2547136102029,2714390118717.2,3375837733876.4,3732461574318.4,2492744956364.5,1840881190843.9,1330416729601.3,211268591595.19,61008096796.254
1,3,785.90969899666,785.90969899666,48599189731.601,928537232897.27,10550080355209,11707449414494,9940465200986.9,9547419778517.4,4019841433820.6,3973562178682.1,5188542101661.4,3769383656157.2,3614067031234.5,3397649076342.7,3089365148243.6,1944334648452.8,1742575301001.7,2565626657279.5,2150214708354.4,2537305489515.7,2703913904178.5,3362808505093,3718055816098.1,2483123948582.6,1833776101057.9,1325281827362.2,210453174615.72,60772628758.027
