x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,362.45150501672,362.45150501672,1051448531921.4,23989069242365,10701330329902,14612487412365,4277796503596.2,5585899913735.5,4057955155055.5,3890742492827.8,3657763705865.2,3325869144085.1,2093173789477.5,4637974490088.5,2314824199729.1,2731462949195.4,2909808400048.8,3615089657210.1,6671080947412.9,1976269050036.9,1427726490711.4,226664715269.24,65425553662.455
1,3,366.04013377926,366.04013377926,1054044467693.7,24048295264191,10727750326345,14648562993705,4288357565478.3,5599690360592.6,4067973379365.1,3900347868332.4,3666793874807.4,3334079912161.7,2098341316903.9,4649424431386.4,2320538871879.3,2738206156525.1,2916991838161,3624014131750.3,6687549533385.1,1981147756375.7,1431251035307.7,227224268736.61,65587065844.126
1,3,369.62876254181,369.62876254181,1056528280247.3,24104963135430,10753029143886,14683080298459,4298462441495.6,5612885122588.9,4077558858826.7,3909538329574.4,3675433973608,3341936002955.5,2103285623713.1,4660379766926.1,2326006684475.2,2744658071716.7,2923864963165.3,3632553076524.8,6703306680382.9,1985815702459.5,1434623319075.8,227759649382.3,65741600673.281
1,3,373.21739130435,373.21739130435,1059007545590,24161527259644,10778261680368,14717534406557,4308548816676.1,5626055726299.6,4087126788113.2,3918711963769.3,3684058252926.8,3349777709641.9,2108220877703,4671315043491.8,2331464485563.3,2751098173415.9,2930725503272.6,3641076385954.5,6719034974631.7,1990475101059.9,1437989427833,228294049687.59,65895852532.554
1,3,376.80602006689,376.80602006689,1061398668814.6,24216080376086,10802597116235,14750763526929,4318276576439.8,5638758052146.5,4096354529445.7,3927559426955.8,3692375891633.8,3357340598643.4,2112980654272.3,4681861502277.6,2336728226272.6,2757309285560.1,2937342101117.3,3649296624143.5,6734203995388.7,1994968817720.2,1441235841975.2,228809447360.17,66044619386.077
1,3,380.39464882943,380.39464882943,1063760609607.7,24269967680340,10826635536578,14783587073651,4327885604431.8,5651305338756.8,4105469640041.5,3936298900189.9,3700592006587.4,3364811175613.1,2117682333102.2,4692279229777.1,2341927716725.2,2763444582961.5,2943877933619.3,3657416520340.2,6749187849726.5,1999407679766.2,1444442627163.9,229318553568.01,66191570242.793
1,3,383.98327759197,383.98327759197,1066058678517.7,24322397715655,10850023876733,14815522938672,4337234763460.4,5663513290100.9,4114338235133.8,3944802015260.7,3708585916004.7,3372079708806.9,2122256853146.7,4702415202576.6,2346986582391.4,2769413944367.4,2950236994744.9,3665316797712.2,6763766429868.5,2003726481413,1447562676398.5,229813889637.85,66334546424.47
1,3,387.57190635452,387.57190635452,1068302667826.4,24373593897833,10872861801341,14846707213631,4346363894375.2,5675433930110.9,4122998108335.9,3953105008546.4,3716391686506.2,3379177173819.3,2126723709284.8,4712312616856.5,2351926382640.5,2775242809641.7,2956446385544.4,3673031126308,6778001868929.9,2007943629276.8,1450609287281.5,230297566687.49,66474157293.718
1,3,391.16053511706,391.16053511706,1070507327589.5,24423892757347,10895299435090,14877344893438,4355333009494.9,5687145622539.7,4131506188265.6,3961262463018.1,3724060632769.1,3386150229321.8,2131112266745.9,4722036539263.9,2356779592476.7,2780969499011.9,2962546928537.1,3680610223624.8,6791987758612.5,2012086849420.9,1453602490121.2,230772764714.83,66611320739.449
1,3,394.7491638796,394.7491638796,1072632765889.6,24472384140755,10916930763381,14906881567203,4363979804965.3,5698436432073.6,4139708511165.2,3969126758808.9,3731453974110.5,3392872686878.2,2135343107263.2,4731410997173.3,2361458383334.4,2786490375564.7,2968428219506,3687916924717.2,6805470981241.5,2016081157036.3,1456488113195,231230883456.37,66743554342.538
