x,y,z,id,group1,group2,group3,group4,group5,group6
1,3,638.77591973244,638.77591973244,31190626424843,48839526047603,21509783368529,5839596248268.7,15774359151770,250598655264.57
1,3,642.36454849498,642.36454849498,31155189268408,48784037079548,21485345042500,5832961593150.3,15756437109780,250313937517.89
1,3,645.95317725753,645.95317725753,31118781532648,48727028340114,21460237382604,5826145223544.6,15738024206943,250021421732.35
1,3,649.54180602007,649.54180602007,31081777677531,48669086173483,21434718625062,5819217246859.8,15719309822665,249724116475.43
1,3,653.13043478261,653.13043478261,31044133548507,48610141440731,21408758319889,5812169396364.3,15700271626233,249421666991.23
1,3,656.71906354515,656.71906354515,31005567090693,48549752489200,21382161955539,5804948864980.5,15680766971197,249111807133.35
1,3,660.30769230769,660.30769230769,30966688980838,48488875540638,21355350668776,5797669985263.6,15661104701256,248799443333.37
1,3,663.89632107023,663.89632107023,30926564190201,48426046490252,21327679642287,5790157698618.8,15640811934976,248477063181.58
1,3,667.48494983278,667.48494983278,30886439399564,48363217439866,21300008615798,5782645411973.9,15620519168695,248154683029.79
1,3,671.07357859532,671.07357859532,30844775896311,48297979012832,21271276457787,5774845043438.5,15599448213973,247819940222.3
1,3,674.66220735786,674.66220735786,30803097216207,48232716821288,21242533833472,5767041833452.4,15578369583710,247485075477.69
1,3,678.2508361204,678.2508361204,30760209366752,48165561264929,21212957338261,5759012239556.9,15556679428239,247140495765.37
1,3,681.83946488294,681.83946488294,30716981413601,48097873160858,21183146299747,5750918970540.6,15534817268753,246793183518.99
1,3,685.42809364548,685.42809364548,30672871996176,48028804825473,21152727383289,5742660671439.3,15512509317613,246438789223.58
1,3,689.01672240803,689.01672240803,30628099558939,47958698307672,21121851233189,5734278240005.5,15489866050900,246079067952.4
1,3,692.60535117057,692.60535117057,30582771415554,47887721643428,21090591855424,5725791767794.1,15466941741429,245714881908.08
1,3,696.19397993311,696.19397993311,30536459455207,47815204480060,21058654014985,5717121102763.6,15443519876489,245342791471.19
1,3,699.78260869565,699.78260869565,30489915491565,47742324036856,21026556179775,5708407001463.2,15419980678239,244968837023.96
1,3,703.37123745819,703.37123745819,30442069140594,47667404264611,20993560188511,5699449063764.9,15395782810823,244584418658.69
1,3,706.95986622074,706.95986622074,30394222789623,47592484492366,20960564197246,5690491126066.5,15371584943407,244200000293.42
1,3,710.54849498328,710.54849498328,30344936887845,47515310615175,20926575458884,5681263671870.3,15346659037833,243804015982.82
1,3,714.13712374582,714.13712374582,30295561449674,47437996538401,20892524974182,5672019454434.6,15321687850142,243407312299.89
1,3,717.72575250836,717.72575250836,30245071203563,47358936851828,20857705692516,5662566519728.1,15296152859719,243001651790.29
1,3,721.3143812709,721.3143812709,30194172151941,47279237041627,20822604489253,5653037047380.4,15270411120083,242592706768.66
1,3,724.90301003344,724.90301003344,30142480827525,47198296659814,20786956916648,5643359243648.5,15244268696597,242177396301.09
1,3,728.49163879599,728.49163879599,30090063805959,47116219953126,20750808886779,5633545572998.5,15217759259208,241756255283.73
1,3,732.08026755853,732.08026755853,30037174732027,47033404088478,20714335318867,5623643523471.4,15191011086170,241331321603.22
1,3,735.66889632107,735.66889632107,29983245553222,46948959587152,20677144470991,5613546742792.8,15163736890743,240898031291.74
1,3,739.25752508361,739.25752508361,29929162121232,46864273550183,20639847246603,5603421082426.5,15136384683335,240463501646.43
1,3,742.84615384615,742.84615384615,29873726766538,46777470620016,20601617705513,5593042311530.4,15108348754764,240018110095.65
1,3,746.4347826087,746.4347826087,29818291411844,46690667689850,20563388164423,5582663540634.3,15080312826193,239572718544.87
1,3,750.02341137124,750.02341137124,29761517049394,46601768088855,20524235212750,5572034077073.3,15051599707820,239116568848.99
1,3,753.61204013378,753.61204013378,29704581668262,46512616358498,20484971218886,5561374467157.9,15022805155858,238659125462.06
1,3,757.20066889632,757.20066889632,29646626235372,46421867390215,20445003773155,5550523880180.7,14993494722587,238193486550.85
1,3,760.78929765886,760.78929765886,29588197144876,46330376749868,20404709681914,5539584613646.7,14963944741565,237724042075.48
1,3,764.3779264214,764.3779264214,29529064387690,46237784278280,20363930324312,5528513604277.8,14934038887706,237248944044.72
1,3,767.96655518395,767.96655518395,29469148072251,46143964877845,20322610605106,5517295894508.1,14903736756600,236767550576.03
1,3,771.55518394649,771.55518394649,29408841798928,46049534862383,20281021959748,5506005175203.3,14873237408136,236283024026.89
1,3,775.14381270903,775.14381270903,29347444910227,45953397108305,20238681194712,5494510266356.1,14842186491687,235789735029.66
1,3,778.73244147157,778.73244147157,29285968990899,45857135603187,20196285927425,5483000560983.9,14811095606605,235295811074.87
1,3,782.32107023411,782.32107023411,29223098347182,45758690152444,20152928810014,5471229728060,14779299359183,234790681454.39
1,3,785.90969899666,785.90969899666,29160227703466,45660244701701,20109571692603,5459458895136.1,14747503111761,234285551833.92
1,3,789.4983277592,789.4983277592,29096119296052,45559861055499,20065360963116,5447456321832,14715080902922,233770477993.4
1,3,793.08695652174,793.08695652174,29031781877679,45459118804500,20020992298378,5435410871937.9,14682542878741,233253564273.94
1,3,796.67558528428,796.67558528428,28966518880807,45356927179874,19975985324528,5423192137127.6,14649536818078,232729215250.31
1,3,800.26421404682,800.26421404682,28900721812625,45253899247068,19930610037690,5410873414577.7,14616260694035,232200575955.63
1,3,803.85284280936,803.85284280936,28834308399805,45149906185751,19884809745017,5398439320969.6,14582672985910,231666986847.25
1,3,807.44147157191,807.44147157191,28767058895374,45044603896124,19838432918065,5385848722757,14548662603814,231126683155.08
1,3,811.03010033445,811.03010033445,28699499240356,44938816023136,19791842314946,5373200101167.3,14514495525556,230583890192.68
1,3,814.61872909699,814.61872909699,28630804449816,44831250939506,19744469301824,5360339116939.8,14479754947241,230031986626.66
1,3,818.20735785953,818.20735785953,28562102701076,44723674969170,19697091498942,5347476832969.1,14445010857732,229480027277.59
1,3,821.79598662207,821.79598662207,28491969346461,44613859127306,19648728232973,5334347134978.8,14409544362058,228916590914.78
1,3,825.38461538462,825.38461538462,28421835991846,44504043285442,19600364967005,5321217436988.4,14374077866383,228353154551.98
1,3,828.97324414716,828.97324414716,28350563265534,44392448565902,19551220118820,5307875701314.9,14338037506237,227780597818.57
1,3,832.5618729097,832.5618729097,28278996881765,44280395364996,19501873828520,5294479315831.5,14301849240381,227205690434.5
1,3,836.15050167224,836.15050167224,28206593506512,44167042795328,19451957979346,5280928368089.6,14265239928351,226624083519.94
1,3,839.73913043478,839.73913043478,28133597154012,44052769671357,19401638618953,5267267918752.4,14228332320812,226037730237.9
1,3,843.32775919732,843.32775919732,28060063476724,43937673485178,19350959413305,5253509536197.5,14191152871892,225447037659.36
1,3,846.91638795987,846.91638795987,27985636409307,43821208823788,19299681906206,5239588323689.8,14153521442325,224849130292.37
1,3,850.50501672241,850.50501672241,27910971640529,43704389906407,19248249103586,5225624349927.4,14115765745714,224249224924.24
1,3,854.09364548495,854.09364548495,27835110963077,43585788677777,19196034987555,5211445238334.9,14077384844294,223639267334.03
1,3,857.68227424749,857.68227424749,27759250285625,43467187449147,19143820871524,5197266126742.4,14039003942875,223029309743.82
1,3,861.27090301003,861.27090301003,27682029165258,43346650327440,19090732424302,5182837390163.2,13999829118210,222406426979.35
1,3,864.85953177258,864.85953177258,27604745502498,43226024208700,19037603782255,5168397177803.7,13960617795240,221782950017.72
1,3,868.44816053512,868.44816053512,27526464137841,43104045467682,18983781105950,5153740838815.7,13920632490463,221146706958.93
1,3,872.03678929766,872.03678929766,27447843594160,42981606888806,18929722485559,5139011025356.8,13880384062607,220506123934.07
1,3,875.6254180602,875.6254180602,27368694298603,42858374969262,18875061829172,5124067640128.1,13839338392770,219852389266.85
1,3,879.21404682274,879.21404682274,27289088257680,42734457747800,18819881123279,5108939767768.7,13797604050992,219187293974.75
1,3,882.80267558528,882.80267558528,27209523911611,42610150378121,18764078698163,5093575847671,13755123997102,218510252497.34
1,3,886.39130434783,886.39130434783,27130045465524,42485039222778,18706995403427,5077725620626.6,13711107622707,217808599418.3
1,3,889.97993311037,889.97993311037,27050933350048,42359710052694,18649405295017,5061692887583.2,13666717912772,217101515233.82
1,3,893.56856187291,893.56856187291,26974585461029,42232735805470,18587990914970,5044283016250,13619511119174,216353449474.44
1,3,897.15719063545,897.15719063545,26898237572009,42105761558245,18526576534924,5026873144916.9,13572304325576,215605383715.06
1,3,900.74581939799,900.74581939799,26831127849176,41972800377990,18455349643048,5006319791623.2,13522882921334,214842247300.68
1,3,904.33444816054,904.33444816054,26764962450287,41839227214350,18383119717704,4985445112080.8,13473235139929,214077570366.23
1,3,907.92307692308,907.92307692308,26715739283107,41688789991087,18292678563865,4959527331372.1,13428382756361,213443883104.27
1,3,911.51170568562,911.51170568562,26673863741013,41531039044951,18194339437570,4931422423413.4,13385610074337,212867004356.11
1,3,915.10033444816,915.10033444816,26654353254862,41336279551972,18067799253036,4896833867219.7,13365525337538,212765879487.27
