x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,814.61872909699,814.61872909699,22374241031507,18757747085359,7689633739229.7,8617101548498.4,6743955394174.2,4841013841043.2,4143070562174.7,4502381697045.5,5806357243272.1,5959527958364.9,3043158277711.6,261266119356.37
1,3,818.20735785953,818.20735785953,22273970525003,18673683529927,7655172224732.1,8578483296838.1,6713731626840.5,4819318209044.1,4124502777439.1,4482203591124.2,5780335506843,5932820059456.4,3029520296965.9,260095251807.15
1,3,821.79598662207,821.79598662207,22171249628521,18587564477531,7619867836464.4,8538920228222,6682768292095.3,4797091658338.7,4105480640851,4461531932172.1,5753677955513.7,5905460014241.1,3015549401910.3,258895805147.22
1,3,825.38461538462,825.38461538462,22068528732039,18501445425134,7584563448196.7,8499357159605.9,6651804957350.1,4774865107633.4,4086458504262.9,4440860273220.1,5727020404184.4,5878099969025.8,3001578506854.8,257696358487.29
1,3,828.97324414716,828.97324414716,21963869912958,18413699538934,7548591805001.9,8459046098765.9,6620256224259.1,4752218444732.9,4067077021265.3,4419798634547.1,5699861001579.8,5850225400842.3,2987344980538,256474366636.98
1,3,832.5618729097,832.5618729097,21858711620859,18325534358593,7512448185984.9,8418542253170.8,6588556612759.1,4729463503666,4047602921650.4,4398636483940.1,5672572253679.7,5822218221408,2973043764609.4,255246564072.52
1,3,836.15050167224,836.15050167224,21752140077716,18236181648910,7475817460138.1,8377492675434.1,6556430313000.6,4706402700545.8,4027867579148.1,4377191388213,5644919675947.5,5793837911823.4,2958552018873.1,254002402913.13
1,3,839.73913043478,839.73913043478,21644567298919,18145987618981,7438841637270.7,8336056466829.9,6524001720525.5,4683125205568.9,4007947155803.8,4355545836421.4,5617009338349.3,5765193253444.1,2943925289874.5,252746652299.38
1,3,843.32775919732,843.32775919732,21536093702785,18055036780731,7401555698330.2,8294273735365.4,6491303027369.4,4659654681201.3,3987862399699.7,4333722843728.5,5588870197895.6,5736313078427.6,2929178042234.8,251480545456.02
1,3,846.91638795987,846.91638795987,21426122350849,17962827625165,7363754140820.1,8251914853107.2,6458155247761.7,4635863213977.1,3967504413570.1,4311604826586,5560350635363,5707041318574.7,2914230412690.7,250197219691.23
1,3,850.50501672241,850.50501672241,21315753217783,17870286286580,7325817090811.4,8209405748797.2,6424891245667,4611989210109.1,3947076553933.6,4289411474544.2,5531732330895,5677666522998,2899229699840.8,248909321143.95
1,3,854.09364548495,854.09364548495,21203382792423,17776073688941,7287198359163.4,8166140856413.2,6391042512045.4,4587699952885.6,3926297150948,4266839102126.8,5502617241991.3,5647773340337.7,2883961917483.2,247598416290.74
1,3,857.68227424749,857.68227424749,21091012367063,17681861091301,7248579627515.3,8122875964029.1,6357193778423.8,4563410695662.2,3905517747962.4,4244266729709.5,5473502153087.5,5617880157677.4,2868694135125.6,246287511437.53
1,3,861.27090301003,861.27090301003,20976321235749,17585755956600,7209199409048.5,8078782042903.7,6322712806691.5,4538676779151.3,3884363823889,4221285669391.5,5443822022578.1,5587376431646.2,2853107002507.7,244948953102.05
1,3,864.85953177258,864.85953177258,20861523416752,17489563818030,7169784183447.6,8034650009601.5,6288202769657.2,4513922420727.5,3863192682301.5,4198285820840,5414115915930,5556844637665.4,2837505188693.7,243609123478.44
1,3,868.44816053512,868.44816053512,20744875591458,17391958861961,7129818951249.2,7989939832113.2,6253260306234.5,4488865171290.1,3841762932810,4174984965930.1,5383938829047.6,5525772703415.4,2821614726798.8,242244131684.56
1,3,872.03678929766,872.03678929766,20627598837491,17293873604047,7089666738649.4,7945033108560.8,6218170835012,4463704950936.6,3820245266900.8,4151581780811.7,5353601627589,5494517142923.8,2805626136019,240870585752.03
1,3,875.6254180602,875.6254180602,20508995597136,17194921616143,7049201287301.3,7899813494212.8,6182844824102.1,4438369092878.5,3798560837871.3,4127943870375.6,5322833217811.1,5462744696700,2789358807737.4,239472704102.56
1,3,879.21404682274,879.21404682274,20389246514015,17095220931307,7008465254696.4,7854323599175.9,6147314485961.6,4412881515816.7,3776732355863.1,4104103199994,5291692322542.3,5430525755297.3,2772850700995.4,238053800823.72
1,3,882.80267558528,882.80267558528,20268812061768,16995228564914,6967644885926.2,7808743000983,6111686292979.4,4387291497595.4,3754774105888.8,4080035631181.8,5260133908537.8,5397827030117.8,2756091068725.3,236613195574.22
1,3,886.39130434783,886.39130434783,20146965607993,16894635274452,6926650767289.4,7762975535611.4,6075856498873.5,4361490429491.5,3732548507183.3,4055500604880.5,5227715319964.4,5364139851563.7,2738813242074.3,235127879796.4
1,3,889.97993311037,889.97993311037,20025058344111,16794113695126,6885687440512.4,7717202836775.5,6039973742389.2,4335611526630,3710214425705.9,4030784555647.6,5195030801152.7,5330192259443.7,2721410502258.9,233632169637.52
1,3,893.56856187291,893.56856187291,19902692224477,16694133227604,6844956460339.7,7671390647707.9,6003691346882.1,4309145304854.8,3687061764127.9,4004702558928.4,5160339648501.5,5294279660722.1,2703065203280.8,232058026439.54
1,3,897.15719063545,897.15719063545,19780326104843,16594152760083,6804225480166.9,7625578458640.4,5967408951374.9,4282679083079.6,3663909102550,3978620562209.2,5125648495850.3,5258367062000.5,2684719904302.8,230483883241.55
1,3,900.74581939799,900.74581939799,19661594814680,16496794141105,6764073941021.5,7579106148565.5,5929481186688.1,4254264098331.2,3638394603634.4,3949227814042.3,5087517162701.9,5220116469431.9,2665548311329.5,228851459085.74
1,3,904.33444816054,904.33444816054,19543235076234,16399703527088,6723981632250,7532566361021.4,5891385232613.5,4225649911327.6,3612638678064.7,3919496641365.2,5049034174825.3,5181626887487.3,2646292254709.6,227213077459.26
1,3,907.92307692308,907.92307692308,19434711351182,16305409550951,6683429042422.6,7482731044188.6,5848781380063.3,4192678400367.1,3582291096534.4,3884351253709.7,5007257514505.9,5143262016034.6,2628058669858.5,225694103417
1,3,911.51170568562,911.51170568562,19330453376949,16212328440214,6642676834700.1,7431466499253.1,5804222510694.8,4157817174794.6,3549952173656,3846857791580.4,4964052431373.9,5104951229896.9,2610268517688,224226914887.81
1,3,915.10033444816,915.10033444816,19241236346816,16117299714432,6598029733141.6,7371859713990.8,5750941047700,4115661347845.7,3510781457502.6,3802588936818.9,4920551291765.1,5073481900704,2597857691828.1,223283320782.36
