x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,122.01337792642,122.01337792642,190471223536.53,527587205601.13,243321876482.86,408839280623.91,394172320587.31,413524762490.45,28507974132652,20026564402942,2824892239397.4
1,3,125.60200668896,125.60200668896,295311951901.68,783368865392.84,357122753013.99,587629397829.14,555779235315.82,544168295950.25,29771655201899,20849849632326,2936598080347.1
1,3,129.19063545151,129.19063545151,441630713363.33,1123341804318.8,506143400593.23,815857626040.98,757562477703.38,703472660742.34,30934235097117,21585757133068,3034902383700.1
1,3,132.77926421405,132.77926421405,652317710391.34,1590529934389.5,707852741332.05,1116719623803.6,1017356289864.1,903523627477.56,31932117649846,22182757997579,3112091246301.2
1,3,136.36789297659,136.36789297659,1013072120695.6,2314470728243.6,1009980335416.6,1543545109513.1,1369305728250.6,1163599349688.3,32542387453235,22472926196389,3143627077707.6
1,3,139.95652173913,139.95652173913,1518743254036.6,3250775992509.9,1389638349819.3,2057992922308.1,1779177840261.8,1458264081748.2,32810850823654,22501039363358,3136392156549.3
1,3,143.54515050167,143.54515050167,2233851681498.5,4482007749646.2,1874794164780.9,2687611750214.7,2262291614330.9,1795040859490.9,32596279301886,22161964009359,3074915883438.5
1,3,147.13377926421,147.13377926421,3474969241578.4,6272355351445.3,2530785103259.5,3463943913372,2812002168670,2159188046680.5,31406061439857,21086079076065,2902827873122.8
1,3,150.72240802676,150.72240802676,5221987709081.9,8431315879738.7,3271633420361.2,4284586861649.5,3354586658720.4,2514085584032.9,29519795271748,19429977916461,2640479506962.2
1,3,154.3110367893,154.3110367893,7649190480267.8,11045460766994,4107587419247.7,5141675226672.5,3870581264528.1,2848046040224.4,26755593161512,17024465041073,2260628829122.4
1,3,157.89966555184,157.89966555184,11918287110303,14065153191934,4881845224811.7,5828654247150.7,4122427436906.4,3136862516127.6,22933829209289,12684860613847,1597798367452.6
1,3,161.48829431438,161.48829431438,15531152480943,16678748824063,5531247135545.3,6390652200019.4,4292839681214.7,3354427340228.5,19519277715712,8977667138432.5,1044840098228.4
1,3,165.07692307692,165.07692307692,17931992551203,18656290501612,6014025385787,6802679463140.6,4389334772609,3478447240344.2,16843570707695,6463195285800.6,690866054449.04
1,3,168.66555183946,168.66555183946,19932480709015,20459957820370,6473264866071.2,7206835437555.8,4504249898845,3592421671709.2,14456798377603,4353862330329.3,398020363317.6
1,3,172.25418060201,172.25418060201,20380073827713,21589196915358,6841201575074.6,7580460059920.3,4690613118212.3,3667431486936.1,13190753122929,3815992290334.7,342280859579.42
1,3,175.84280936455,175.84280936455,20827666946411,22718436010346,7209138284078,7954084682284.9,4876976337579.6,3742441302163.1,11924707868255,3278122250340,286541355841.24
1,3,179.43143812709,179.43143812709,20873668522916,23262532601296,7422412972216.1,8211507985000.9,5031679145801.1,3822867671457.2,11512977006351,3118871951588.8,271278470118.08
1,3,183.02006688963,183.02006688963,20917737092728,23803812687770,7634943215588.6,8468371968346.3,5186229560906.1,3903320112603.3,11105358271485,2961444087866.5,256210413133.32
1,3,186.60869565217,186.60869565217,20939408535423,24129050704716,7769899044956.4,8645557545801.2,5301132772007.7,3973196046921.2,10962308868656,2898661597435.1,250112841222.82
1,3,190.19732441472,190.19732441472,20954962152048,24395276340374,7883665247195.1,8800978785971.4,5405206259413.4,4040182984410.8,10891527178931,2861731705379.8,246465577655.98
1,3,193.78595317726,193.78595317726,20993032609863,24602383705074,7970502984781.3,8921301567855.5,5487678120413.8,4096747534929.3,10884463400334,2848140598119.6,244997363079.23
1,3,197.3745819398,197.3745819398,21047698721788,24765918955546,8037493556358.7,9015755629140.4,5554228870765.6,4145630442729.3,10924361822375,2851750944497.9,245135179429.44
1,3,200.96321070234,200.96321070234,21114083420260,24918441210916,8097886934614.1,9099422402599.6,5613018472739.5,4189612055484.7,10974138998880,2859613210888.1,245680034785.35
1,3,204.55183946488,204.55183946488,21200773073165,25051881099758,8146849266195.6,9164397895599.8,5658360227269.4,4225101127597.1,11041033227724,2874842836962.7,246930172167.28
1,3,208.14046822742,208.14046822742,21289975368874,25184401244434,8194920037704.1,9227480670519,5702127955504.4,4259393401392.6,11108101946928,2890376503148.6,248213013640.04
1,3,211.72909698997,211.72909698997,21392753252647,25311952092289,8238173788558.2,9280337256126.2,5737391358115.4,4287219479149.6,11176113422201,2907552871312.7,249672552438.91
1,3,215.31772575251,215.31772575251,21495531136419,25439502940143,8281427539412.3,9333193841733.4,5772654760726.4,4315045556906.7,11244124897474,2924729239476.9,251132091237.78
1,3,218.90635451505,218.90635451505,21603498700354,25566682266442,8323236868523.6,9381851780388.9,5803896161589.4,4339293804364.1,11308037375942,2941308125130.5,252553052071.29
1,3,222.49498327759,222.49498327759,21711760062197,25693840560181,8364964426105.3,9430272025458.6,5834909869095.8,4363339503876.2,11371717802213,2957853186134.9,253971828931.01
1,3,226.08361204013,226.08361204013,21820222204832,25820627212857,8406286265138.2,9477456994104.3,5864642875929.3,4386093044535.5,11432438560156,2973697553787.8,255332711159.93
1,3,229.67224080268,229.67224080268,21928756120935,25947281014337,8447463071236.1,9524200386278.1,5893918068403.4,4408384674859.5,11492101320170,2989291443335.7,256672897691.67
1,3,233.26086956522,233.26086956522,22036331244733,26073107776823,8488346618695.2,9570444365248.8,5922742656030.6,4430211394487.6,11550267104504,3004488424777.4,257979020125.1
1,3,236.84949832776,236.84949832776,22143045495584,26198191963996,8528966857378.1,9616239934993.2,5951162658097,4451620683731.1,11607088796006,3019329033468.7,259254557351.98
1,3,240.4381270903,240.4381270903,22248966878679,26322524453610,8569353081495.9,9661753861950.6,5979382865932,4472847206183.5,11663272984490,3033995205826.2,260514954904.06
1,3,244.02675585284,244.02675585284,22353181138047,26445238463054,8609235448805.7,9706661383765.5,6007172896766.1,4493680213420.2,11718084565093,3048285799277.5,261742755219.22
1,3,247.61538461538,247.61538461538,22457109909175,26567651534163,8649023460681.6,9751464038456,6034896571538.1,4514459602067.2,11772725166377,3062529975057.3,262966527826.51
1,3,251.20401337793,251.20401337793,22558665755962,26687563262668,8688027208009.5,9795395057410.7,6062068707253.3,4534793323121.2,11825944619851,3076388335915.7,264156822886.61
1,3,254.79264214047,254.79264214047,22660221602748,26807474991173,8727030955337.3,9839326076365.4,6089240842968.4,4555127044175.2,11879164073326,3090246696774.1,265347117946.71
1,3,258.38127090301,258.38127090301,22759381470743,26924692647782,8765175243316.7,9882306634126.8,6115828284157.7,4575014744810.7,11931102896820,3103763895425.3,266507932793.53
1,3,261.96989966555,261.96989966555,22858268098247,27041603068981,8803221517451.2,9925178800076.4,6142349046034.3,4594851580706.4,11982895675631,3117242187501.5,267665385679.08
1,3,265.55852842809,265.55852842809,22955325206804,27156389227365,8840582392416.5,9967287291739.4,6168400894726.5,4614337118539.1,12033739139632,3130471047941.4,268801360075.42
1,3,269.14715719064,269.14715719064,23051552167019,27270211496712,8877632265964.9,10009049264475,6194239973005.1,4633663254084.4,12084151849899,3143586728214.4,269927588558.9
1,3,272.73578595318,272.73578595318,23146507145950,27382536950573,8914196448967.6,10050266695486,6219743676327.3,4652739045404.5,12133905218860,3156530333149,271039026996.74
1,3,276.32441471572,276.32441471572,23240073711021,27493228575856,8950230483064.3,10090889739387,6244881305679.7,4671541576892.2,12182938892789,3169286111589.5,272134321561.5
1,3,279.91304347826,279.91304347826,23332923157262,27603072471621,8985988798359.2,10131202599457,6269827410461,4690201101278.6,12231599144024,3181944681866.3,273221267195.43
1,3,283.5016722408,283.5016722408,23423817492766,27710605167325,9020995410076.2,10170669792513,6294251353879,4708470739486.8,12279241317517,3194338229503.9,274285450793.75
1,3,287.09030100334,287.09030100334,23514554165519,27817951278773,9055941288301,10210068557731,6318632987173.1,4726708759508.3,12326801095101,3206710343668.8,275347793959.9
1,3,290.67892976589,290.67892976589,23602758104525,27922300054192,9089911528564.7,10248368081074,6342334940084.5,4744438857093.6,12373037244256,3218738145182.2,276380571964.74
1,3,294.26755852843,294.26755852843,23690962043532,28026648829612,9123881768828.3,10286667604418,6366036892995.8,4762168954678.8,12419273393410,3230765946695.5,277413349969.58
1,3,297.85618729097,297.85618729097,23776864659049,28128274021650,9156965308697.9,10323967549961,6389120411034.3,4779436633934.2,12464304538625,3242480325630.3,278419216479.93
1,3,301.44481605351,301.44481605351,23862357472679,28229414219025,9189890951819.7,10361089498421,6412093802974.1,4796621969310,12509121106057,3254138892696.6,279420290799.5
1,3,305.03344481605,305.03344481605,23946104050776,28328488106564,9222143874804.3,10397452977174,6434597829631.8,4813456248290.5,12553022570974,3265559429523.8,280400926936.57
1,3,308.6220735786,308.6220735786,24028864472062,28426395080772,9254016890535,10433388123063,6456836790230.7,4830092274143.4,12596407247312,3276845542822.7,281370020957.74
1,3,312.21070234114,312.21070234114,24110442810994,28522903484103,9285434592117,10468809908472,6478758048168,4846490650033.3,12639172285403,3287970471395.1,282325274873.32
1,3,315.79933110368,315.79933110368,24190449906980,28617552884449,9316247082783.1,10503549326843,6500257010599.4,4862573137756.2,12681113690332,3298881150627.1,283262132297.13
1,3,319.38795986622,319.38795986622,24269847995921,28711481792885,9346825017742.2,10538024290213,6521592309089.4,4878533195822.7,12722735835679,3309708779106,284191858519.78
1,3,322.97658862876,322.97658862876,24347081473234,28802849835763,9376569264462.8,10571559293406,6542345892025.5,4894058098565.9,12763223227316,3320241217853.9,285096238104.69
1,3,326.5652173913,326.5652173913,24424287539272,28894185450421,9406302954323,10605082394184,6563092108923.4,4909577491058.7,12803696249084,3330769918433,286000296708.26
1,3,330.15384615385,330.15384615385,24498727825902,28982249079243,9434971463996,10637404549163,6583095097461.7,4924540902940.4,12842719360687,3340921440273.2,286871968507.94
1,3,333.74247491639,333.74247491639,24573168112531,29070312708066,9463639973669.1,10669726704143,6603098086000,4939504314822.2,12881742472290,3351072962113.4,287743640307.63
1,3,337.33110367893,337.33110367893,24645358616953,29155714816555,9491442041920.8,10701071990008,6622496523487.6,4954015485350,12919586186859,3360917674601.8,288588967593.23
1,3,340.91973244147,340.91973244147,24716986872378,29240451777486,9519027575514.6,10732173143940,6641743876029.5,4968413635049.7,12957135155207,3370685711556.8,289427711051.91
1,3,344.50836120401,344.50836120401,24786944498624,29323212368387,9545969715259.9,10762548906055,6660542309600.5,4982475966310.6,12993808340842,3380225921268.5,290246891869.66
1,3,348.09698996656,348.09698996656,24855742609733,29404601241974,9572465301744.7,10792421203485,6679029166940.6,4996305219777.7,13029873681643,3389608005442.3,291052495061.34
1,3,351.6856187291,351.6856187291,24923457118777,29484708203950,9598543570777.1,10821822998589,6697224847662.6,5009916655857,13065370975141,3398842317016.4,291845409592.06
1,3,355.27424749164,355.27424749164,24989407696051,29562728417764,9623942513388.1,10850458890758,6714946539173.9,5023173519881.9,13099943578001,3407836078307.3,292617669001.38
1,3,358.86287625418,358.86287625418,25054869116785,29640169954491,9649153071682.8,10878882390112,6732536788633.2,5036332057514.6,13134259755021,3416763132636.2,293384200542.19
1,3,362.45150501672,362.45150501672,25117955492324,29714801788964,9673448950875.4,10906274639764,6749488835824.1,5049013182282.7,13167330884887,3425366298727.9,294122921054.37
1,3,366.04013377926,366.04013377926,25181041867863,29789433623437,9697744830068,10933666889416,6766440883014.9,5061694307050.8,13200402014753,3433969464819.7,294861641566.55
1,3,369.62876254181,369.62876254181,25241360350781,29860791012985,9720974736371.3,10959857314125,6782649165335.5,5073819052053,13232022160130,3442195169906.3,295567950964.94
1,3,373.21739130435,373.21739130435,25301566580484,29932015605847,9744161411632.2,10985998998246,6798827283914.7,5085921232806.7,13263583460135,3450405566880.5,296272945915.05
1,3,376.80602006689,376.80602006689,25359597619243,30000666925685,9766510375637.3,11011196209662,6814420903388,5097586173968.6,13294004482010,3458319330431,296952470103.06
1,3,380.39464882943,380.39464882943,25416908487416,30068466276391,9788581986977.1,11036080721422,6829821004648.7,5109106352164.3,13324047976216,3466134883446.4,297623561333.16
1,3,383.98327759197,383.98327759197,25472643645994,30134401546411,9810046759711.1,11060281056491,6844797694342.9,5120309793697.6,13353265452252,3473735555035.5,298276201528.4
1,3,387.57190635452,387.57190635452,25527044669069,30198758520387,9830997729057.1,11083902106891,6859415886249.7,5131245057879.1,13381783548041,3481154288950.1,298913219440.97
1,3,391.16053511706,391.16053511706,25580475783866,30261968082875,9851575166506,11107102020897,6873773452467.5,5141985358774.9,13409793198704,3488440755298,299538880050.48
1,3,394.7491638796,394.7491638796,25631953213430,30322866415601,9871400199043.9,11129453640306,6887606040631.4,5152332945327.2,13436778688879,3495460795224.4,300141663656.24
1,3,398.33779264214,398.33779264214,25683072393811,30383340935887,9891087262364.6,11151649707112,6901342363059.1,5162608519466.9,13463576377752,3502431980279.9,300740252283.71
1,3,401.92642140468,401.92642140468,25731613220063,30440765236925,9909781347843,11172726246742,6914385851644.1,5172365813286,13489022442426,3509051552090.1,301308649245.4
1,3,405.51505016722,405.51505016722,25780154046315,30498189537963,9928475433321.4,11193802786372,6927429340229.1,5182123107105.1,13514468507101,3515671123900.3,301877046207.09
1,3,409.10367892977,409.10367892977,25826004804891,30552431460966,9946133517557.5,11213711292332,6939749976100.8,5191339664733.2,13538504384855,3521923847881.5,302413943368.29
1,3,412.69230769231,412.69230769231,25871596760943,30606367217893,9963691931537.3,11233507425632,6952001068701.4,5200504199919.1,13562404593185,3528141278645.2,302947810037.76
1,3,416.28093645485,416.28093645485,25915109103480,30657842770322,9980449442892.3,11252400585852,6963693344757.4,5209250707584.5,13585214626763,3534075109953.8,303457325121.75
1,3,419.86956521739,419.86956521739,25957740667228,30708276352250,9996867747929.8,11270911309851,6975148945222.2,5217820168039,13607562938589,3539888828375.1,303956526577.87
1,3,423.45819397993,423.45819397993,25998908273797,30756978057668,10012722252505,11288786380248,6986211163251.3,5226095355379.2,13629143815014,3545502905169.6,304438585581.69
1,3,427.04682274247,427.04682274247,26038568670977,30803896718762,10027996299290,11306007016834,6996868376469.4,5234067575387.2,13649934582372,3550911441980.8,304902995664.18
1,3,430.63545150502,430.63545150502,26077385499848,30849817429790,10042945470306,11322861374094,7007298912998.8,5241870227948.6,13670283134469,3556204940348.3,305357527841.62
1,3,434.22408026756,434.22408026756,26114064707398,30893209312607,10057071398723,11338787571194,7017155045632.8,5249243192735.4,13689511103017,3561206928677.7,305787029182.5
1,3,437.8127090301,437.8127090301,26150524995500,30936342211431,10071113016684,11354618712955,7026952352042.2,5256572152058.9,13708624309634,3566179062691.5,306213967049.08
1,3,441.40133779264,441.40133779264,26184213743878,30976196349834,10084087256771,11369246445632,7036004913206.1,5263343998295.9,13726284619982,3570773238410.2,306608451102.47
1,3,444.98996655518,444.98996655518,26217902492256,31016050488237,10097061496858,11383874178310,7045057474370,5270115844532.9,13743944930329,3575367414129,307002935155.86
