x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,132.77926421405,132.77926421405,27946846687.972,834370457366.95,532233586539.3,1029767853258.9,348377463758.17,516405725944.97,419451921598.84,960185576871.53,516470491989.91,359765512027.98,1016558590106.4,2385371461590.1,35353003909016,32915014248733,7988967121218.8,5728030253370.3,992819070514.52,335046806996.23
1,3,136.36789297659,136.36789297659,45709883621.574,1296021484382,818061744067.5,1530467795181.5,512924332813.16,749312644307.33,601722908838.2,1343351590403.2,713967345225.1,493382529554.28,1355140175780,2574563169270.1,35927740470588,33324228677728,8078810841239.5,5789354865145,1003189939820.7,338569879504.91
1,3,139.95652173913,139.95652173913,71637279509.997,1941588831435,1209274432580.9,2182776710101.9,724234829984.65,1042358603911.4,827573190333.37,1804545641955.7,948361096346.71,650469384982.73,1743135483076.1,2766319731973,36155292773403,33389086609121,8083458040643.7,5789050765238.8,1002831372165.5,338476967464.28
1,3,143.54515050167,143.54515050167,109510433635.96,2852606460748.3,1750772689756.1,3045256857402.2,999729916750.29,1416726288919.1,1111642683969.1,2367489413251.7,1230205198524.6,837423095208.48,2191859105221.4,2957397954597.4,35893185598924,32971704479634,7969009084117.7,5702656005275,987488625642.66,333334072627.12
1,3,147.13377926421,147.13377926421,179465549281.36,4423858351799.6,2621977940978.4,4284463217577.8,1382356097121.3,1914173101731.9,1477470967993.1,3054421094789.4,1564297206448.7,1054145700335.1,2680839315760.7,3112456365169.2,34646365622796,31598521356207,7617926034908.9,5444652392026.1,942212052938.99,318102707930.94
1,3,150.72240802676,150.72240802676,282092332272.87,6623226986570,3740007082096.8,5743619353557.5,1821173749232.6,2467497703624.8,1876862261479.1,3779199338804.9,1907235018537.8,1270665908438.6,3146881784411.6,3241605097233.4,32699209151009,29493587704866,7079229055704.5,5048816767314.4,872782832732.24,294864131506.14
1,3,154.3110367893,154.3110367893,429080200319.3,9665455602091,5173096885874.3,7464475408878.1,2324346715435.5,3081015562869.4,2310608782149,4535410119912.4,2252171688832.3,1480023816511.6,3567350886835,3338005170675.8,29869410282704,26449623744710,6297837411158.9,4474169699848.1,771988407258.05,261265040590.04
1,3,157.89966555184,157.89966555184,704522200618.29,14953072782574,6909599927240.2,9333319396928.7,2812602290184.3,3673563464424,2707039345417.6,5171332502364.7,2453105489319.2,1592152281312.8,3745518704717.5,4116061734553.7,25565467185453,21132594156281,4926208390746.7,3444698784787.7,580093790715.3,192343023701.02
1,3,161.48829431438,161.48829431438,937441610407.59,19484665312574,8389656909716.9,10950254519960,3227783618991.9,4179960272554.1,3043268912092.7,5703026895386.1,2603950431846.6,1672812667466.1,3858178793467.8,4861295611799.1,21630406893945,16448868652238,3730119645730.7,2553900475830.2,415862767269.79,134038023395.74
1,3,165.07692307692,165.07692307692,1090410911666.3,22600763634548,9460707349642.9,12188713747203,3542155660048,4568032851485.7,3300333446130.6,6106304086647.1,2706462600099.4,1724157675080.7,3916005890849.4,5454391337213.8,18444767468373,13011746156274,2873385711666.9,1929406948950.2,304813626215.49,96199526777.656
