x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,416.28093645485,416.28093645485,67050807516.273,1282008618607.2,14619442242698,16172316157151,13707716794586,13159875463093,5535574160429.7,5468117200576.2,7129836333754.3,5164468344483.7,4922602636988.7,4609514722983.1,4119950364860.8,2579982882662,2276967994811.9,3330602985628.9,2833646566359.7,3685202370092.4,4997287427917.9,5252766275736,3723092686286.5,1805520083100,1108106483008.5,709893895973.46,107528823773.02,33729704283.801
1,3,419.86956521739,419.86956521739,66777390752.978,1276780897130.2,14559827589954,16106369099327,13651819678034,13106212186489,5513001197699.2,5445819288781,7100762212932.1,5143408598239.5,4902529152335.2,4590717933798.3,4103149915251.2,2569462148137.4,2267682897923.9,3317021324694.7,2822091398117.2,3670174648304.9,4976909142936.2,5231346140407.4,3707910358124.1,1798157384241.3,1103587753973.6,706999031062.55,107090333689.23,33592158468.312
1,3,423.45819397993,423.45819397993,66508373860.109,1271637301328.1,14501172273411,16041483290839,13596822087397,13053412486412,5490791489958.8,5423880205046.7,7072155964697.6,5122687753317.4,4882778697080.6,4572223628409.1,4086619823169.5,2559110715921.8,2258547218850.8,3303658221775.8,2810722176803.7,3655388753943.9,4956858786197.9,5210270697811.4,3692972343461.6,1790913165551.7,1099141740052.3,704150750125.53,106658899757.88,33456826031.164
1,3,427.04682274247,427.04682274247,66243886830.624,1266580316670.6,14443504636391,15977690086006,13542750598920,13001501876992,5468955769477,5402310550849.1,7044031412217.3,5102315822463.2,4863360815039.1,4554040743615.6,4070368076254,2548933588005.5,2249565372100.5,3290520134108.6,2799544396170,3640851831734,4937146046252.1,5189550131799.6,3678285860473.9,1783790927495.2,1094770589592.5,701350429473.06,106234730451.04,33323772366.009
1,3,430.63545150502,430.63545150502,65981904185.481,1261571215558.1,14386383038293,15914500913814,13489191086460,12950082779612,5447326798432.9,5380945126336.6,7016173152812.5,5082136779690.1,4844126787400.3,4536030019488.4,4054270205078,2538852819601,2240668567532.7,3277506440664.1,2788472449003.3,3626452547476.8,4917619948491.3,5169025749254.1,3663738429555.6,1776736122909.4,1090440825227.8,698576622270.43,105814577180.59,33191978453.785
1,3,434.22408026756,434.22408026756,65726267707.336,1256683452439.9,14330645115270,15852842374100,13436928932895,12899909184944,5426221735176.2,5360097224500.8,6988989686130.5,5062446519710.3,4825358651008.1,4518455554413.5,4038562258532.8,2529016228396,2231987261793.6,3264807965014.8,2777668686254.1,3612402040929.1,4898566806280.9,5148998500083.7,3649543359750.2,1769852196275.1,1086215934171.2,695870000753.98,105404600637.86,33063376784.199
1,3,437.8127090301,437.8127090301,65471273483.546,1251807969165.6,14275047225402,15791338740668,13384798077685,12849861640712,5405169693747.7,5339301698305.5,6961874511548.6,5042805726787.5,4806637664951.6,4500925240767.8,4022893774173.7,2519204349068.9,2223327765555.9,3252141390927,2766892065072.2,3598386832312.8,4879561529302.5,5129021563072.5,3635383950525.7,1762985563296,1082001656793.5,693170178751.68,104995654028.97,32935098184.861
1,3,441.40133779264,441.40133779264,65224410257.13,1247087949808.9,14221222167749,15731796234569,13334329471349,12801409906246,5384788913388.9,5319169252386.8,6935623921039.8,5023791191212.6,4788513606346.2,4483953888152,4007724884607.9,2509705324318.8,2214944379549.2,3239878693451.4,2756459058549.8,3584818498653.5,4861162230426.4,5109681582481.3,3621676007431.6,1756337869532.7,1077921749536.9,690556439204.51,104599746474.29,32810909683.657
1,3,444.98996655518,444.98996655518,64977547030.714,1242367930452.1,14167397110096,15672253728470,13283860865013,12752958171780,5364408133030.2,5299036806468.1,6909373330530.9,5004776655637.8,4770389547740.7,4466982535536.1,3992555995042.2,2500206299568.8,2206560993542.4,3227615995975.9,2746026052027.5,3571250164994.2,4842762931550.3,5090341601890,3607968064337.6,1749690175769.4,1073841842280.2,687942699657.34,104203838919.61,32686721182.452
1,3,448.57859531773,448.57859531773,64738194299.733,1237791511689.7,14115209611886,15614522731908,13234927705987,12705980519720,5344647411047.3,5279516862591.1,6883921376182.8,4986340608625.9,4752816885261,4450527508954.8,3977848593903.6,2490996266705.6,2198432657685.4,3215726368687.1,2735910449512.5,3558094619384.4,4824923390215.3,5071589995948,3594677153757.1,1743244722666,1069886056709,685408477041.39,103819975928.35,32566310826.988
1,3,452.16722408027,452.16722408027,64500029330.81,1233237802925.3,14063281088731,15557078220080,13186237373293,12659235989319,5324984749414.5,5260093784052.8,6858595723719.6,4967996047824.4,4735331424405.1,4434154137768.8,3963214175759,2481831937032.1,2190344657235.5,3203895741316.2,2725845043477.9,3545004354951.6,4807172372836.5,5052931439670.8,3581452195602.8,1736831253309.2,1065949900605.7,682886829786.76,103438017748.23,32446497973.805
1,3,455.75585284281,455.75585284281,64267503052.982,1228791906175.6,14012582012642,15500993764535,13138699840123,12613598189293,5305787623485.8,5241130568252.9,6833869682749.4,4950085813179.3,4718259949085.6,4418168421807.4,3948926240920.2,2472884580970.3,2182448147033.3,3192345213171.5,2716017942679.6,3532224009507,4789841619840.8,5034714634834.5,3568540345839.3,1730569626558.7,1062106935300.1,680424884012.18,103065102652.73,32329521760.261
1,3,459.34448160535,459.34448160535,64037964016.887,1224403125615.5,13962534267779,15445629833809,13091773032169,12568546708166,5286837127078.1,5222410976574.3,6809461301400,4932405673993.9,4701407793259,4402388076178.6,3934821864530.2,2464052172263.8,2174653083718.3,3180943074800.9,2706317090213.6,3519607851622.8,4772733512718.7,5016731859193.5,3555794373304.3,1724388442336.9,1058313340218.1,677994566633.22,102696978364.05,32214048329.572
1,3,462.93311036789,462.93311036789,63812223496.826,1220086972695.9,13913314738431,15391182097832,13045622798376,12524240766381,5268200234767.6,5204001167523,6785456843447.4,4915018115200.3,4684834515590,4386868871462.2,3920950893847,2455365926094.8,2166987016331.7,3169729623338.9,2696776770793.7,3507200469933.6,4755908515655.5,4999046667559,3543259324523.2,1718309545951.6,1054582522513.5,675604466758.84,102334945888.58,32100485782.412
1,3,466.52173913043,466.52173913043,63591240970.165,1215861792627.7,13865132625778,15337881980698,13000445295695,12480868681723,5249956160655.5,5185979389925,6761958336987.2,4897997040465.5,4668610558661.5,4371676769942.7,3907372285445.1,2446862762051.5,2159482528301.5,3158752519718.4,2687437533893.3,3495054599779.1,4739438140181.4,4981734227474.3,3530988477293.3,1712358774562,1050930339292.9,673264743036.54,101980543973.78,31989316793.983
1,3,470.11036789298,470.11036789298,63372246575.587,1211674625414.6,13817383992034,15285061381040,12955674230757,12437886790479,5231876217617.6,5168119743342.1,6738671232075.9,4881129093680.5,4652532558353.7,4356621341905.3,3893915834783.5,2438436095259.6,2152045553063.4,3147874169858.1,2678182316219.4,3483017998104.8,4723115936584.9,4964577533738.5,3518828020837.7,1706461537310.3,1047311011699,670946067833.46,101629330313.21,31879147899.219
